Startup Name,Industry,Funding Rounds,Funding Amount (M USD),Valuation (M USD),Revenue (M USD),Employees,Market Share (%),Profitable,Year Founded,Region,Exit Status
Startup_1,IoT,1,101.09,844.75,67.87,1468,5.2,0,2006,Europe,Private
Startup_2,EdTech,1,247.62,3310.83,75.65,3280,8.1,1,2003,South America,Private
Startup_3,EdTech,1,109.24,1059.37,84.21,4933,2.61,1,1995,South America,Private
Startup_4,Gaming,5,10.75,101.9,47.08,1059,2.53,0,2003,South America,Private
Startup_5,IoT,4,249.28,850.11,50.25,1905,4.09,0,1997,Europe,Acquired
Startup_6,AI,5,103.89,1541.76,12.56,1462,8.96,1,2004,Europe,IPO
Startup_7,Gaming,4,232.26,1039.51,38.6,1404,0.1,0,2016,Australia,Private
Startup_8,HealthTech,5,109.15,630.19,64.37,3420,9.02,1,2002,Australia,IPO
Startup_9,Gaming,5,258.39,935.47,78.06,447,1.62,0,2020,North America,Acquired
Startup_10,FinTech,3,66.24,707.45,21.8,3655,9.9,0,1995,Europe,Private
Startup_11,AI,5,292.38,1665.52,13.87,4657,9.55,0,1994,Europe,Private
Startup_12,FinTech,2,234.04,1207.68,66.34,1183,5.0,0,2011,Europe,Private
Startup_13,IoT,3,34.71,141.02,0.29,4463,5.18,1,2012,Australia,Acquired
Startup_14,Cybersecurity,5,169.95,720.54,17.92,1262,4.87,0,2014,South America,Acquired
Startup_15,FinTech,1,295.62,2960.94,3.0,3639,6.39,1,2015,Asia,Acquired
Startup_16,HealthTech,2,141.58,1593.98,16.77,1846,1.0,1,1994,Australia,Private
Startup_17,Gaming,2,55.04,427.58,18.21,2314,0.42,0,2015,Europe,Private
Startup_18,Cybersecurity,2,145.69,1276.06,38.83,915,0.67,1,2009,Australia,Private
Startup_19,Gaming,3,153.98,1729.44,40.29,4345,4.5,0,1995,North America,Acquired
Startup_20,FinTech,5,222.64,714.35,87.44,4642,2.83,0,1995,Europe,Private
Startup_21,Gaming,5,209.8,1442.91,51.06,4014,6.26,1,2007,North America,Private
Startup_22,IoT,1,121.06,1776.82,72.37,2174,9.93,0,1993,Europe,Private
Startup_23,Cybersecurity,1,65.8,655.46,10.5,2177,3.92,0,2006,Australia,Private
Startup_24,IoT,2,193.69,1171.96,22.62,128,5.78,0,2003,South America,Private
Startup_25,FinTech,1,126.8,1174.26,70.32,3163,4.21,0,2003,Asia,Acquired
Startup_26,IoT,3,40.12,285.33,5.38,790,8.49,1,2002,North America,Acquired
Startup_27,HealthTech,5,270.22,2536.54,48.71,2421,9.03,1,1996,Australia,Private
Startup_28,FinTech,2,207.52,935.69,59.98,801,8.79,1,2004,South America,IPO
Startup_29,FinTech,1,205.11,941.98,60.25,4177,9.75,1,2008,Australia,Acquired
Startup_30,FinTech,3,246.86,1165.8,2.39,4159,0.37,0,2006,North America,Acquired
Startup_31,AI,3,159.13,2272.03,32.28,1941,8.41,0,2008,Asia,Acquired
Startup_32,Gaming,1,244.61,2885.12,63.69,2161,7.54,0,2009,Australia,Private
Startup_33,AI,5,149.68,740.7,14.99,3812,2.36,0,2021,Europe,Private
Startup_34,AI,1,20.62,108.47,69.57,1306,9.57,0,2013,South America,Private
Startup_35,HealthTech,2,121.87,1434.4,74.62,4168,1.57,1,2006,Australia,Private
Startup_36,Cybersecurity,1,149.49,728.61,98.2,3145,6.83,0,1996,South America,Private
Startup_37,Gaming,3,216.2,1257.15,21.06,3241,2.33,0,1990,Europe,Private
Startup_38,IoT,1,32.42,472.04,82.53,2357,4.37,0,2021,Asia,Private
Startup_39,EdTech,5,42.44,257.34,52.08,1937,7.22,1,2002,Asia,Private
Startup_40,FinTech,4,79.47,869.37,37.41,2726,5.68,1,1995,Europe,Acquired
Startup_41,IoT,1,80.32,1184.2,12.33,369,4.33,0,2003,South America,Private
Startup_42,FinTech,5,219.79,1646.57,73.58,4921,3.33,0,2004,Australia,Private
Startup_43,HealthTech,5,75.59,242.66,23.66,2395,8.41,1,1993,Europe,Private
Startup_44,FinTech,3,190.11,1127.31,37.21,951,1.52,0,2005,North America,Private
Startup_45,AI,5,148.54,1926.64,6.35,1382,4.36,0,2017,South America,Private
Startup_46,Gaming,5,172.2,2303.23,80.16,1444,9.05,1,2005,Asia,Private
